event_id,title,date,latitude,longitude,state,location_description,trigger,size,fatalities,injuries,source
1055,"Kerseong, West Bengal ",07/22/2009 12:00:00 AM,26.8826,88.2788,Bengal,"Kerseong, West Bengal ",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
1054,"Gayabari,  West Bengal ",07/22/2009 12:00:00 AM,26.8572,88.3143,Bengal,"Gayabari,  West Bengal ",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
1061,Bridge destroyed at 4th Mile,07-01-2009 05:40,27.478,88.527,NER,"4th Mile, Lower Mangshila in North Sikkim",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
2164,"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",07/29/2010 11:00:00 PM,25.3098633,94.48214677,Manipur,"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
4569,"North Skkimm Hwy between, Chungthang and Mangan, North Skimm (9 landslides)",09/19/2012 12:00:00 AM,27.8385,88.556,NER,"North Skkimm Hwy between, Chungthang and Mangan, North Skimm (9 landslides)",downpour,large,20,0,ISRO / NRSC Landslide Inventory & GLC
4571," Chungthang and Pegong. Houses, between Rangma and Chungthang ",09/19/2012 12:00:00 AM,27.6558,88.605,NER," Chungthang and Pegong. Houses, between Rangma and Chungthang ",downpour,large,0,0,ISRO / NRSC Landslide Inventory & GLC
5122,"National Highway 29 Between Patkai Bridge And Kukidolong, Nagaland",07/17/2013 12:00:00 AM,25.7658,93.9413,Nāgāland,"National Highway 29 Between Patkai Bridge And Kukidolong, Nagaland",rain,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
5123,"National Highway 2 Near Meriema Village, 10 Km Away From Kohima",07/17/2013 12:00:00 AM,25.7131,94.0885,Nāgāland,"National Highway 2 Near Meriema Village, 10 Km Away From Kohima",rain,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
7370,between Moltuk to New Songjang village,08-01-2015 00:00,24.1419,94.1078,Manipur,between Moltuk to New Songjang village,continuous_rain,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
5084,"National Highway 2 Near Phesama Village Close To Kisama Naha Heritage Site, Kohima District, Nagaland",07-12-2013 23:00,25.616,94.1167,Nāgāland,"National Highway 2 Near Phesama Village Close To Kisama Naha Heritage Site, Kohima District, Nagaland",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
3986,"Singamari, Darhelling, West Bengal",09/25/2011 12:00:00 AM,27.0605,88.255,Bengal,"Singamari, Darhelling, West Bengal",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
2566,"Sahong, Tabu and Pani village under Tadubi police station of Senapati district, NH-39",10-08-2010 00:00,25.4769,94.1351,Nāgāland,"Sahong, Tabu and Pani village under Tadubi police station of Senapati district, NH-39",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
1050,Darjeeling (between Tin Dharia and Rongtong),07-03-2009 00:00,26.87324244,88.29184021,Bengal,Darjeeling (between Tin Dharia and Rongtong),rain,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
1109,Lumding-Badarpur section in North Cachar Hills district,08/20/2009 12:00:00 AM,25.5215,93.1645,Assam,Lumding-Badarpur section in North Cachar Hills district,downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
1961,"Ishok Chingphu(?), Bishnupur, Assam",06-09-2010 14:15,25.8833,91.2,Meghālaya,"Ishok Chingphu(?), Bishnupur, Assam",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
595,Kurseong sub division,06/20/2008 12:00:00 AM,26.885,88.2778,Bengal,Kurseong sub division,rain,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
2578,"NH-39 in Karong area, Manipur",10-09-2010 00:00,25.3179,94.0462,Nāgāland,"NH-39 in Karong area, Manipur",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
322,National Highway 53 at Nungba in Tamenglong district of Manipur,10/21/2007 12:00:00 AM,24.75,93.4333,Assam,National Highway 53 at Nungba in Tamenglong district of Manipur,rain,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
5552,"Ukhrul, Manipur",09/24/2013 12:00:00 AM,25.0985,94.3619,Manipur,"Ukhrul, Manipur",unknown,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
