slope,elevation,aspect_deg,historical_density,dist_to_road_m,dist_to_drainage_m,geology_weathering,rain_1h,rain_6h,rain_24h,rain_72h,forecast_rain_24h,soil_moisture_0_7,soil_moisture_7_28,soil_moisture_28_100,humidity,temperature,population,road_criticality,target_risk_score,risk_class,data_source
9.37,114.3,274.0,5,31.7,627.9,4.0,27.1,111.7,257.4,530.6,193.05,0.469,0.52,0.435,98.6,25.3,15000,3.0,15.5,0,LANDSLIDE_OBSERVATION_CATALOG
21.12,3019.2,117.3,2,256.6,206.3,3.5,7.4,34.2,83.9,143.8,62.93,0.247,0.275,0.249,72.6,6.4,8500,1.0,3.1,0,LANDSLIDE_OBSERVATION_CATALOG
8.16,20.0,165.2,0,144.5,77.8,3.0,6.6,21.1,65.6,161.4,49.2,0.224,0.289,0.257,69.8,25.9,8500,2.0,0.9,0,LANDSLIDE_OBSERVATION_CATALOG
31.71,2028.0,238.3,2,525.6,173.3,3.0,24.2,58.6,172.0,303.3,129.0,0.36,0.403,0.326,85.8,12.8,8500,1.0,8.6,0,LANDSLIDE_OBSERVATION_CATALOG
31.8,861.9,251.9,5,447.2,1110.4,4.0,27.0,74.6,241.1,445.4,180.82,0.449,0.516,0.394,96.2,20.4,8500,1.0,16.2,0,LANDSLIDE_OBSERVATION_CATALOG
36.02,2471.4,52.0,3,323.1,892.8,3.0,11.2,39.3,108.2,278.8,81.15,0.278,0.383,0.314,76.2,9.9,8500,1.0,9.5,0,LANDSLIDE_OBSERVATION_CATALOG
13.88,1706.2,50.5,3,67.2,1670.8,3.0,13.4,62.1,173.5,266.0,130.12,0.362,0.373,0.308,86.0,14.9,8500,2.0,2.8,0,LANDSLIDE_OBSERVATION_CATALOG
0.0,641.5,357.3,0,380.4,712.4,3.0,17.3,66.8,161.6,383.9,121.2,0.347,0.467,0.364,84.2,21.8,8500,1.0,1.3,0,LANDSLIDE_OBSERVATION_CATALOG
14.26,705.1,279.9,2,435.5,300.0,3.0,18.8,57.2,112.1,226.6,84.07,0.283,0.341,0.289,76.8,21.4,8500,1.0,1.9,0,LANDSLIDE_OBSERVATION_CATALOG
21.46,1781.9,344.0,0,13.8,903.0,3.0,15.2,44.2,167.5,417.2,125.62,0.354,0.494,0.38,85.1,14.4,15000,3.0,3.3,0,LANDSLIDE_OBSERVATION_CATALOG
