record_id,state,district,latitude,longitude,elevation_m,slope_deg,aspect_deg,soil_type,land_cover,distance_to_road_m,distance_to_river_m,rainfall_1h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_3d_mm,rainfall_7d_mm,historical_landslide_count_5km,date,landslide_occurred,data_source,state_encoded,district_encoded,soil_type_encoded,land_cover_encoded
TG-011830,Assam,Kamrup,25.25634,92.77183,644.3,0.0,264.3,Laterite,Dense Forest,121.2,1033.7,30.6,123.4,246.0,386.7,660.7,2,2022-12-29,0,DEMO DATA,1,16,1,3
TG-005357,Arunachal Pradesh,Papum Pare,28.6977,95.53221,20.0,16.97,235.8,Sandy Loam,Grassland,223.4,1029.2,18.0,83.3,214.3,514.9,996.2,1,2016-07-25,0,DEMO DATA,0,27,4,4
TG-005989,Meghalaya,South Garo Hills,26.06047,90.78353,3102.2,16.87,313.9,Laterite,Sparse Forest,159.3,24.9,32.4,86.7,214.6,482.9,641.7,1,2016-03-25,0,DEMO DATA,3,34,1,6
TG-001017,Mizoram,Lunglei,22.6083,92.57003,1806.1,41.24,215.1,Rocky/Gravelly,Dense Forest,646.4,791.3,28.6,93.5,272.0,484.7,704.7,6,2022-07-13,0,DEMO DATA,4,23,3,3
TG-008832,Manipur,Imphal West,24.11633,93.38158,1672.4,7.95,161.7,Clay Loam,Agricultural Land,162.6,497.6,11.4,37.1,122.8,240.6,521.9,1,2019-10-14,0,DEMO DATA,2,14,0,0
TG-005839,Mizoram,Lunglei,24.21981,93.2355,1540.4,28.73,208.8,Rocky/Gravelly,Built-up/Urban,63.4,197.3,2.4,9.7,25.0,85.9,188.6,2,2017-05-16,1,DEMO DATA,4,23,3,2
TG-008854,Sikkim,North Sikkim,27.29291,88.34119,2168.6,18.1,330.9,Silty Clay,Grassland,115.7,915.0,23.4,85.1,207.1,360.6,732.1,0,2025-01-17,0,DEMO DATA,6,26,5,4
TG-009560,Assam,Dibrugarh,24.25231,93.23944,175.2,1.05,41.9,Silty Clay,Grassland,115.3,111.2,7.0,17.9,38.1,88.0,153.6,1,2021-10-12,0,DEMO DATA,1,6,5,4
TG-003372,Assam,Dibrugarh,24.90049,91.408,847.0,0.0,104.1,Silty Clay,Shrubland,274.3,1585.7,11.2,54.8,158.7,307.0,453.2,1,2024-05-15,0,DEMO DATA,1,6,5,5
TG-000041,Meghalaya,West Garo Hills,25.14493,90.17699,1913.8,41.98,343.2,Silty Clay,Dense Forest,239.1,188.5,19.9,56.2,133.9,283.6,487.8,4,2024-02-12,0,DEMO DATA,3,42,5,3
TG-010855,Mizoram,Kolasib,22.87953,93.48929,717.6,0.0,243.6,Sandy Loam,Dense Forest,347.5,174.6,9.8,30.2,67.8,190.4,367.5,1,2025-05-15,0,DEMO DATA,4,20,4,3
TG-000057,Assam,Dima Hasao,24.54992,94.70693,487.4,16.85,109.4,Silty Clay,Built-up/Urban,13.2,166.9,3.3,4.8,0.0,24.2,0.0,0,2021-04-25,0,DEMO DATA,1,7,5,2
TG-005637,Assam,Cachar,24.99289,94.60873,859.3,9.17,220.6,Sandy Loam,Dense Forest,696.5,16.2,8.1,30.9,80.8,145.5,211.6,0,2018-05-09,0,DEMO DATA,1,1,4,3
TG-001535,Nagaland,Tuensang,26.70234,94.61555,784.0,29.83,133.8,Silty Clay,Sparse Forest,332.4,2643.2,12.0,61.2,121.5,284.3,412.9,1,2022-09-30,0,DEMO DATA,5,39,5,6
TG-000255,Arunachal Pradesh,Papum Pare,26.97567,94.9088,1739.8,26.7,228.6,Sandy Loam,Sparse Forest,43.9,957.3,45.9,149.2,327.4,839.4,1119.9,4,2016-03-07,0,DEMO DATA,0,27,4,6
TG-004579,Tripura,Sepahijala,23.61156,91.15987,1831.5,5.81,98.1,Loam,Built-up/Urban,641.0,788.8,1.6,46.9,7.8,23.3,29.3,0,2015-10-26,0,DEMO DATA,7,31,2,2
TG-002328,Arunachal Pradesh,Lower Subansiri,28.27402,95.2024,352.4,27.94,63.2,Loam,Agricultural Land,5.0,967.4,9.3,47.0,91.0,128.1,136.9,2,2023-06-30,0,DEMO DATA,0,22,2,0
TG-002384,Manipur,Tamenglong,24.57954,94.75541,1334.3,21.12,48.5,Clay Loam,Dense Forest,120.5,91.8,3.9,14.0,12.5,13.9,0.0,1,2019-09-19,0,DEMO DATA,2,37,0,3
TG-003281,Assam,Dibrugarh,26.28398,92.76222,2551.7,12.97,356.9,Rocky/Gravelly,Dense Forest,241.3,3549.0,6.4,13.9,34.0,91.4,116.2,2,2020-05-10,0,DEMO DATA,1,6,3,3
TG-011917,Manipur,Tamenglong,23.85992,93.33984,1435.3,31.12,355.0,Sandy Loam,Dense Forest,416.0,349.1,8.1,29.8,61.6,100.3,140.8,1,2018-06-23,0,DEMO DATA,2,37,4,3
TG-011550,Assam,Dibrugarh,25.14542,91.03781,2436.8,12.92,92.3,Clay Loam,Agricultural Land,114.1,753.6,20.1,58.2,132.4,299.4,473.4,1,2020-11-30,0,DEMO DATA,1,6,0,0
TG-011097,Assam,Golaghat,24.82776,91.14104,322.2,4.11,120.6,Laterite,Dense Forest,1635.3,427.1,23.1,79.7,234.4,397.0,470.0,0,2022-04-14,0,DEMO DATA,1,11,1,3
TG-005481,Assam,Dima Hasao,27.69397,93.76907,836.3,17.57,293.3,Laterite,Dense Forest,564.8,146.5,2.0,4.9,0.0,0.0,0.0,0,2023-11-02,0,DEMO DATA,1,7,1,3
TG-000683,Meghalaya,Jaintia Hills,25.90599,91.10047,2095.3,38.1,322.0,Loam,Dense Forest,1162.9,469.1,6.9,37.4,53.0,39.5,104.0,2,2020-02-11,0,DEMO DATA,3,15,2,3
TG-001400,Sikkim,South Sikkim,27.92923,88.05174,2561.8,21.33,353.6,Silty Clay,Dense Forest,567.3,20.9,12.0,48.2,108.9,254.4,488.8,1,2018-01-18,0,DEMO DATA,6,35,5,3
TG-011249,Meghalaya,Ri Bhoi,25.93742,92.08743,1679.3,26.38,307.8,Clay Loam,Dense Forest,300.5,366.9,10.9,25.3,57.5,106.8,197.9,2,2021-08-01,0,DEMO DATA,3,28,0,3
TG-005950,Arunachal Pradesh,West Kameng,28.50679,91.95411,1314.9,40.76,115.3,Loam,Dense Forest,257.4,465.7,6.2,1.0,11.5,0.0,0.0,3,2018-10-01,0,DEMO DATA,0,43,2,3
TG-001146,Manipur,Imphal East,25.31694,93.81898,1522.9,29.66,160.4,Laterite,Built-up/Urban,300.8,390.2,7.1,24.6,43.7,104.4,126.1,1,2022-12-30,0,DEMO DATA,2,13,1,2
TG-009514,Sikkim,North Sikkim,28.15333,88.09411,1692.2,21.18,108.6,Loam,Sparse Forest,223.9,117.8,1.4,0.0,0.0,0.0,11.0,4,2016-12-07,0,DEMO DATA,6,26,2,6
TG-009428,Arunachal Pradesh,West Siang,27.67001,93.00072,1782.2,29.78,50.7,Silty Clay,Sparse Forest,551.5,132.2,21.6,71.7,206.7,392.4,583.5,1,2021-11-26,0,DEMO DATA,0,45,5,6
TG-005123,Assam,Cachar,24.36213,93.15899,685.4,0.0,62.4,Silty Clay,Built-up/Urban,50.7,99.2,12.7,33.1,108.0,237.8,407.8,2,2020-08-07,0,DEMO DATA,1,1,5,2
