record_id,state,district,latitude,longitude,elevation_m,slope_deg,aspect_deg,soil_type,land_cover,distance_to_road_m,distance_to_river_m,rainfall_1h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_3d_mm,rainfall_7d_mm,historical_landslide_count_5km,date,landslide_probability_true,landslide_occurred,data_source
TG-000001,Nagaland,Wokha,26.74548,95.04342,114.3,9.37,274,Silty Clay,Barren/Rocky,31.7,627.9,27.1,111.7,257.4,530.6,995.2,5,01-01-2019,0.1554,0,DEMO DATA
TG-000002,Arunachal Pradesh,Lower Subansiri,27.03201,95.56168,3019.2,21.12,117.3,Laterite,Agricultural Land,256.6,206.3,7.4,34.2,83.9,143.8,272.7,2,28-01-2019,0.0308,0,DEMO DATA
TG-000003,Assam,Golaghat,27.09031,93.88856,20,8.16,165.2,Sandy Loam,Agricultural Land,144.5,77.8,6.6,21.1,65.6,161.4,194.8,0,15-01-2018,0.0089,0,DEMO DATA
TG-000004,Sikkim,West Sikkim,27.28073,88.05247,2028,31.71,238.3,Sandy Loam,Barren/Rocky,525.6,173.3,24.2,58.6,172,303.3,444.5,2,15-02-2021,0.0858,0,DEMO DATA
TG-000005,Mizoram,Kolasib,22.12789,92.35341,861.9,31.8,251.9,Silty Clay,Dense Forest,447.2,1110.4,27,74.6,241.1,445.4,735.8,5,16-01-2016,0.1616,1,DEMO DATA
TG-000006,Arunachal Pradesh,Upper Siang,27.76426,91.84136,2471.4,36.02,52,Rocky/Gravelly,Agricultural Land,323.1,892.8,11.2,39.3,108.2,278.8,574,3,20-02-2016,0.0953,0,DEMO DATA
TG-000007,Assam,Cachar,25.76786,89.83616,1706.2,13.88,50.5,Loam,Agricultural Land,67.2,1670.8,13.4,62.1,173.5,266,382,3,03-11-2021,0.0278,0,DEMO DATA
TG-000008,Assam,Cachar,27.65697,90.73703,641.5,0,357.3,Sandy Loam,Grassland,380.4,712.4,17.3,66.8,161.6,383.9,696.1,0,21-10-2024,0.0129,0,DEMO DATA
TG-000009,Nagaland,Tuensang,25.52268,94.79846,705.1,14.26,279.9,Sandy Loam,Shrubland,435.5,,18.8,57.2,112.1,226.6,312.9,2,09-10-2019,0.0191,0,DEMO DATA
TG-000010,Tripura,West Tripura,23.53613,91.46114,1781.9,21.46,344,Loam,Built-up/Urban,13.8,903,15.2,44.2,167.5,417.2,655.2,0,24-02-2018,0.0332,0,DEMO DATA
TG-000011,Arunachal Pradesh,Papum Pare,28.83109,92.94932,1406.1,13.25,312.4,Rocky/Gravelly,Agricultural Land,404.2,300.9,32.9,127.7,254.9,643.9,837.7,1,11-02-2017,0.0791,0,DEMO DATA
TG-000012,Assam,Golaghat,24.64671,95.50211,1264.3,7.49,55.3,Silty Clay,Dense Forest,47.1,6.7,19.8,67.8,169.9,424.3,718,0,08-04-2016,0.0167,0,DEMO DATA
TG-000013,Meghalaya,South Garo Hills,25.05418,90.92084,1782.8,14.65,300,Silty Clay,Dense Forest,1071.2,152.5,40.6,177.4,513.6,1200,2016.4,4,03-09-2015,0.4336,1,DEMO DATA
TG-000014,Meghalaya,East Khasi Hills,25.45858,90.49771,526.3,38.37,117.9,Silty Clay,Grassland,159.1,700,32.5,106.1,323.5,770.3,1314.8,4,05-03-2019,0.6522,1,DEMO DATA
TG-000015,Mizoram,Kolasib,23.78686,92.30984,459.6,26.2,345.2,Sandy Loam,Barren/Rocky,469.7,587.6,8.8,16.7,37.1,95.4,167.4,5,24-08-2023,0.0487,0,DEMO DATA
TG-000016,Arunachal Pradesh,Tawang,28.44202,94.02793,1120.3,35.77,120.1,Rocky/Gravelly,Barren/Rocky,206.4,,13.6,46.1,109.5,236.5,470.5,5,17-11-2024,0.1651,0,DEMO DATA
TG-000017,Sikkim,South Sikkim,27.14631,88.52943,1359.6,31.29,163.6,Loam,Barren/Rocky,909.4,1690.4,8.7,40,43.5,96,209.2,3,27-06-2022,0.0327,0,DEMO DATA
